Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47p","C_0402_1005Metric",136.398000,-104.775000,0.000000,top
"C2","47p","C_0402_1005Metric",136.398000,-103.505000,180.000000,top
"C3","100n","C_0603_1608Metric",138.811000,-104.140000,90.000000,top
"C4","47p","C_0402_1005Metric",136.398000,-97.155000,0.000000,top
"C5","47p","C_0402_1005Metric",136.398000,-95.885000,180.000000,top
"C6","47p","C_0402_1005Metric",131.318000,-101.600000,90.000000,top
"C7","47p","C_0402_1005Metric",130.048000,-101.600000,270.000000,top
"C8","47p","C_0402_1005Metric",123.698000,-101.600000,90.000000,top
"C9","47p","C_0402_1005Metric",122.428000,-101.600000,270.000000,top
"C10","47p","C_0402_1005Metric",115.443000,-97.790000,180.000000,top
"C11","47p","C_0402_1005Metric",115.443000,-99.060000,0.000000,top
"C12","100n","C_0603_1608Metric",138.811000,-96.520000,90.000000,top
"C13","100n","C_0603_1608Metric",130.683000,-99.187000,180.000000,top
"C14","100n","C_0603_1608Metric",123.063000,-99.187000,180.000000,top
"C15","100n","C_0603_1608Metric",113.030000,-98.425000,270.000000,top
"C16","1u","C_0603_1608Metric",134.112000,-116.967000,0.000000,top
"C17","4.7n","C_0402_1005Metric",131.572000,-115.443000,0.000000,top
"C18","1u","C_0603_1608Metric",127.000000,-107.442000,180.000000,top
"C19","10n","C_0402_1005Metric",125.730000,-112.522000,270.000000,top
"C20","10n","C_0402_1005Metric",125.730000,-114.554000,90.000000,top
"C21","10u","C_1206_3216Metric",116.332000,-123.190000,0.000000,top
"C22","10u","C_1206_3216Metric",116.332000,-113.792000,0.000000,top
"C23","10n","C_0402_1005Metric",114.046000,-119.326800,90.000000,top
"C24","10n","C_0402_1005Metric",114.046000,-109.928800,90.000000,top
"C25","1u","C_0603_1608Metric",141.224000,-108.458000,0.000000,top
"C26","1u","C_0603_1608Metric",141.224000,-111.506000,0.000000,top
"C27","10n","C_0402_1005Metric",122.682000,-120.904000,90.000000,top
"C28","10n","C_0402_1005Metric",122.682000,-111.506000,90.000000,top
"C29","10u","C_1206_3216Metric",120.904000,-123.190000,180.000000,top
"C30","10u","C_1206_3216Metric",120.904000,-113.792000,180.000000,top
"C31","10u","C_1206_3216Metric",147.952000,-119.634000,0.000000,top
"C32","100n","C_0603_1608Metric",134.112000,-115.443000,0.000000,top
"C33","100n","C_0603_1608Metric",141.224000,-109.982000,0.000000,top
"D1","D_Zener","D_SOD-123",116.586000,-127.762000,0.000000,top
"D2","D_Schottky","D_SOD-123",109.982000,-110.998000,180.000000,top
"D3","D_Schottky","D_SOD-123",109.982000,-127.762000,0.000000,top
"D4","LED","LED_0805_2012Metric",148.414500,-117.348000,180.000000,top
"D5","D_Zener","D_SOD-123",147.702000,-121.920000,0.000000,top
"F1","Fuse","Fuse_0805_2012Metric",143.510000,-120.904000,90.000000,top
"J3","Conn_01x02","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",103.959000,-92.075000,270.000000,top
"J4","Conn_01x02","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",103.959000,-104.775000,270.000000,top
"R1","47","R_0402_1005Metric",140.589000,-104.775000,0.000000,top
"R2","NA/3.9k","R_0402_1005Metric",142.240000,-104.140000,270.000000,top
"R3","47","R_0402_1005Metric",140.589000,-103.505000,0.000000,top
"R4","NA/3.9k","R_0402_1005Metric",142.240000,-96.520000,270.000000,top
"R5","NA/3.9k","R_0402_1005Metric",130.683000,-95.758000,0.000000,top
"R6","NA/3.9k","R_0402_1005Metric",123.063000,-95.758000,0.000000,top
"R7","NA/3.9k","R_0402_1005Metric",109.601000,-98.425000,90.000000,top
"R8","47","R_0402_1005Metric",140.589000,-97.155000,0.000000,top
"R9","47","R_0402_1005Metric",140.589000,-95.885000,0.000000,top
"R10","47","R_0402_1005Metric",131.318000,-97.409000,90.000000,top
"R11","47","R_0402_1005Metric",130.048000,-97.409000,90.000000,top
"R12","47","R_0402_1005Metric",123.698000,-97.409000,90.000000,top
"R13","47","R_0402_1005Metric",122.428000,-97.409000,90.000000,top
"R14","47","R_0402_1005Metric",111.252000,-97.790000,180.000000,top
"R15","47","R_0402_1005Metric",111.252000,-99.060000,180.000000,top
"R16","1k","R_0402_1005Metric",121.666000,-120.904000,270.000000,top
"R17","1k","R_0402_1005Metric",121.666000,-118.872000,270.000000,top
"R18","1k","R_0402_1005Metric",121.666000,-111.506000,270.000000,top
"R19","1k","R_0402_1005Metric",121.666000,-109.474000,270.000000,top
"R20","680","R_0805_2012Metric",144.447500,-117.348000,0.000000,top
"R21","100k","R_0402_1005Metric",141.097000,-119.380000,0.000000,top
"R22","100k","R_0402_1005Metric",141.097000,-118.364000,0.000000,top
"R23","100k","R_0402_1005Metric",141.097000,-117.348000,0.000000,top
"R24","0","R_1206_3216Metric",125.730000,-127.762000,0.000000,top
"R25","0","R_1206_3216Metric",147.320000,-110.998000,270.000000,top
"RN1","R_Pack04_47","R_Array_Convex_4x0603",132.480000,-121.909000,90.000000,top
"RN2","R_Pack04_47","R_Array_Convex_4x0603",137.560000,-121.909000,90.000000,top
"U1","ADS1263","TSSOP-28_4.4x9.7mm_P0.65mm",133.985000,-110.363000,90.000000,top
"U2","TPS7A4901","MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm",117.856000,-110.744000,180.000000,top
"U3","TPS7A3001","MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm",117.856000,-120.142000,180.000000,top
